Date,Hour,Pris,Område
2024-10-01,1,3.883,NO1
2024-10-01,2,0.094,NO1
2024-10-01,3,0.059,NO1
2024-10-01,4,0.023,NO1
2024-10-01,5,9.384,NO1
2024-10-01,6,29.62,NO1
2024-10-01,7,39.121,NO1
2024-10-01,8,44.611,NO1
2024-10-01,9,48.47,NO1
2024-10-01,10,48.693,NO1
2024-10-01,11,45.338,NO1
2024-10-01,12,42.277,NO1
2024-10-01,13,42.23,NO1
2024-10-01,14,42.265,NO1
2024-10-01,15,42.242,NO1
2024-10-01,16,46.582,NO1
2024-10-01,17,51.098,NO1
2024-10-01,18,58.559000000000005,NO1
2024-10-01,19,61.972,NO1
2024-10-01,20,64.377,NO1
2024-10-01,21,56.037,NO1
2024-10-01,22,52.776,NO1
2024-10-01,23,49.139,NO1
2024-10-01,24,42.652,NO1
2024-10-02,1,46.729,NO1
2024-10-02,2,46.227,NO1
2024-10-02,3,45.515,NO1
2024-10-02,4,46.379000000000005,NO1
2024-10-02,5,46.998000000000005,NO1
2024-10-02,6,49.437,NO1
2024-10-02,7,58.624,NO1
2024-10-02,8,94.695,NO1
2024-10-02,9,143.047,NO1
2024-10-02,10,106.579,NO1
2024-10-02,11,72.29400000000001,NO1
2024-10-02,12,59.955,NO1
2024-10-02,13,64.088,NO1
2024-10-02,14,58.916,NO1
2024-10-02,15,58.764,NO1
2024-10-02,16,58.379,NO1
2024-10-02,17,60.41,NO1
2024-10-02,18,69.889,NO1
2024-10-02,19,66.877,NO1
2024-10-02,20,62.243,NO1
2024-10-02,21,59.663,NO1
2024-10-02,22,54.854,NO1
2024-10-02,23,50.301,NO1
2024-10-02,24,48.34,NO1
2024-10-03,1,49.738,NO1
2024-10-03,2,49.093,NO1
2024-10-03,3,48.577,NO1
2024-10-03,4,48.46,NO1
2024-10-03,5,48.46,NO1
2024-10-03,6,49.714,NO1
2024-10-03,7,57.461,NO1
2024-10-03,8,83.314,NO1
2024-10-03,9,87.064,NO1
2024-10-03,10,76.142,NO1
2024-10-03,11,59.84,NO1
2024-10-03,12,57.601,NO1
2024-10-03,13,52.89,NO1
2024-10-03,14,41.698,NO1
2024-10-03,15,46.409,NO1
2024-10-03,16,56.371,NO1
2024-10-03,17,57.801,NO1
2024-10-03,18,59.875,NO1
2024-10-03,19,68.946,NO1
2024-10-03,20,70.317,NO1
2024-10-03,21,76.821,NO1
2024-10-03,22,62.113,NO1
2024-10-03,23,58.45700000000001,NO1
2024-10-03,24,54.039,NO1
2024-10-04,1,52.534000000000006,NO1
2024-10-04,2,49.694,NO1
2024-10-04,3,48.713,NO1
2024-10-04,4,48.526,NO1
2024-10-04,5,48.093,NO1
2024-10-04,6,52.09,NO1
2024-10-04,7,57.242,NO1
2024-10-04,8,143.264,NO1
2024-10-04,9,159.949,NO1
2024-10-04,10,131.638,NO1
