Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Kristiansand - Sømskleiva;SN39150;01.10.2023 01:00;11,3
Kristiansand - Sømskleiva;SN39150;01.10.2023 02:00;10,9
Kristiansand - Sømskleiva;SN39150;01.10.2023 03:00;10,6
Kristiansand - Sømskleiva;SN39150;01.10.2023 04:00;10,6
Kristiansand - Sømskleiva;SN39150;01.10.2023 05:00;10,6
Kristiansand - Sømskleiva;SN39150;01.10.2023 06:00;9,8
Kristiansand - Sømskleiva;SN39150;01.10.2023 07:00;9,1
Kristiansand - Sømskleiva;SN39150;01.10.2023 08:00;10
Kristiansand - Sømskleiva;SN39150;01.10.2023 09:00;11
Kristiansand - Sømskleiva;SN39150;01.10.2023 10:00;12,5
Kristiansand - Sømskleiva;SN39150;01.10.2023 11:00;14,6
Kristiansand - Sømskleiva;SN39150;01.10.2023 12:00;15,8
Kristiansand - Sømskleiva;SN39150;01.10.2023 13:00;15,4
Kristiansand - Sømskleiva;SN39150;01.10.2023 14:00;15,3
Kristiansand - Sømskleiva;SN39150;01.10.2023 15:00;14,9
Kristiansand - Sømskleiva;SN39150;01.10.2023 16:00;14,4
Kristiansand - Sømskleiva;SN39150;01.10.2023 17:00;14
Kristiansand - Sømskleiva;SN39150;01.10.2023 18:00;14,1
Kristiansand - Sømskleiva;SN39150;01.10.2023 19:00;14,2
Kristiansand - Sømskleiva;SN39150;01.10.2023 20:00;13,8
Kristiansand - Sømskleiva;SN39150;01.10.2023 21:00;14
Kristiansand - Sømskleiva;SN39150;01.10.2023 22:00;14,7
Kristiansand - Sømskleiva;SN39150;01.10.2023 23:00;15,5
Kristiansand - Sømskleiva;SN39150;02.10.2023 00:00;15,5
Kristiansand - Sømskleiva;SN39150;02.10.2023 01:00;15,1
Kristiansand - Sømskleiva;SN39150;02.10.2023 02:00;14,8
Kristiansand - Sømskleiva;SN39150;02.10.2023 03:00;14,4
Kristiansand - Sømskleiva;SN39150;02.10.2023 04:00;14,1
Kristiansand - Sømskleiva;SN39150;02.10.2023 05:00;13,5
Kristiansand - Sømskleiva;SN39150;02.10.2023 06:00;12,9
Kristiansand - Sømskleiva;SN39150;02.10.2023 07:00;12,9
Kristiansand - Sømskleiva;SN39150;02.10.2023 08:00;13,4
Kristiansand - Sømskleiva;SN39150;02.10.2023 09:00;13,9
Kristiansand - Sømskleiva;SN39150;02.10.2023 10:00;16
Kristiansand - Sømskleiva;SN39150;02.10.2023 11:00;17,4
Kristiansand - Sømskleiva;SN39150;02.10.2023 12:00;17
Kristiansand - Sømskleiva;SN39150;02.10.2023 13:00;16,8
Kristiansand - Sømskleiva;SN39150;02.10.2023 14:00;16,9
Kristiansand - Sømskleiva;SN39150;02.10.2023 15:00;17,1
Kristiansand - Sømskleiva;SN39150;02.10.2023 16:00;16,8
Kristiansand - Sømskleiva;SN39150;02.10.2023 17:00;15,6
Kristiansand - Sømskleiva;SN39150;02.10.2023 18:00;14,9
Kristiansand - Sømskleiva;SN39150;02.10.2023 19:00;13,8
Kristiansand - Sømskleiva;SN39150;02.10.2023 20:00;13,3
Kristiansand - Sømskleiva;SN39150;02.10.2023 21:00;12,6
Kristiansand - Sømskleiva;SN39150;02.10.2023 22:00;11,5
Kristiansand - Sømskleiva;SN39150;02.10.2023 23:00;11,2
Kristiansand - Sømskleiva;SN39150;03.10.2023 00:00;11,6
Kristiansand - Sømskleiva;SN39150;03.10.2023 01:00;11,7
Kristiansand - Sømskleiva;SN39150;03.10.2023 02:00;11,5
Kristiansand - Sømskleiva;SN39150;03.10.2023 03:00;11,4
Kristiansand - Sømskleiva;SN39150;03.10.2023 04:00;11,4
Kristiansand - Sømskleiva;SN39150;03.10.2023 05:00;11,5
Kristiansand - Sømskleiva;SN39150;03.10.2023 06:00;11,5
Kristiansand - Sømskleiva;SN39150;03.10.2023 07:00;11,4
Kristiansand - Sømskleiva;SN39150;03.10.2023 08:00;11,7
Kristiansand - Sømskleiva;SN39150;03.10.2023 09:00;12
Kristiansand - Sømskleiva;SN39150;03.10.2023 10:00;12,6
Kristiansand - Sømskleiva;SN39150;03.10.2023 11:00;13,8
Kristiansand - Sømskleiva;SN39150;03.10.2023 12:00;14,3
Kristiansand - Sømskleiva;SN39150;03.10.2023 13:00;14,5
Kristiansand - Sømskleiva;SN39150;03.10.2023 14:00;14,8
Kristiansand - Sømskleiva;SN39150;03.10.2023 15:00;14,4
Kristiansand - Sømskleiva;SN39150;03.10.2023 16:00;15
Kristiansand - Sømskleiva;SN39150;03.10.2023 17:00;14,7
Kristiansand - Sømskleiva;SN39150;03.10.2023 18:00;14,2
Kristiansand - Sømskleiva;SN39150;03.10.2023 19:00;13
Kristiansand - Sømskleiva;SN39150;03.10.2023 20:00;12,8
Kristiansand - Sømskleiva;SN39150;03.10.2023 21:00;12,2
Kristiansand - Sømskleiva;SN39150;03.10.2023 22:00;12,6
Kristiansand - Sømskleiva;SN39150;03.10.2023 23:00;12,4
Kristiansand - Sømskleiva;SN39150;04.10.2023 00:00;11,8
Kristiansand - Sømskleiva;SN39150;04.10.2023 01:00;12
Kristiansand - Sømskleiva;SN39150;04.10.2023 02:00;12,2
Kristiansand - Sømskleiva;SN39150;04.10.2023 03:00;12,1
Kristiansand - Sømskleiva;SN39150;04.10.2023 04:00;12,1
Kristiansand - Sømskleiva;SN39150;04.10.2023 05:00;11,9
Kristiansand - Sømskleiva;SN39150;04.10.2023 06:00;11,7
Kristiansand - Sømskleiva;SN39150;04.10.2023 07:00;11,7
Kristiansand - Sømskleiva;SN39150;04.10.2023 08:00;12
Kristiansand - Sømskleiva;SN39150;04.10.2023 09:00;12,7
Kristiansand - Sømskleiva;SN39150;04.10.2023 10:00;13,6
Kristiansand - Sømskleiva;SN39150;04.10.2023 11:00;14,6
Kristiansand - Sømskleiva;SN39150;04.10.2023 12:00;15,1
Kristiansand - Sømskleiva;SN39150;04.10.2023 13:00;15
Kristiansand - Sømskleiva;SN39150;04.10.2023 14:00;15,3
Kristiansand - Sømskleiva;SN39150;04.10.2023 15:00;15
Kristiansand - Sømskleiva;SN39150;04.10.2023 16:00;14
Kristiansand - Sømskleiva;SN39150;04.10.2023 17:00;13,1
Kristiansand - Sømskleiva;SN39150;04.10.2023 18:00;12,2
Kristiansand - Sømskleiva;SN39150;04.10.2023 19:00;12,3
Kristiansand - Sømskleiva;SN39150;04.10.2023 20:00;12
Kristiansand - Sømskleiva;SN39150;04.10.2023 21:00;11,8
Kristiansand - Sømskleiva;SN39150;04.10.2023 22:00;11,5
Kristiansand - Sømskleiva;SN39150;04.10.2023 23:00;11,2
Kristiansand - Sømskleiva;SN39150;05.10.2023 00:00;10,9
Kristiansand - Sømskleiva;SN39150;05.10.2023 01:00;10,8
Kristiansand - Sømskleiva;SN39150;05.10.2023 02:00;11,2
Kristiansand - Sømskleiva;SN39150;05.10.2023 03:00;9,9
Kristiansand - Sømskleiva;SN39150;05.10.2023 04:00;10,1
Kristiansand - Sømskleiva;SN39150;05.10.2023 05:00;10,3
Kristiansand - Sømskleiva;SN39150;05.10.2023 06:00;9,9
Kristiansand - Sømskleiva;SN39150;05.10.2023 07:00;10,4
Kristiansand - Sømskleiva;SN39150;05.10.2023 08:00;9,3
