Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Oslo - Blindern;SN18700;01.10.2023 01:00;7,5
Oslo - Blindern;SN18700;01.10.2023 02:00;7,8
Oslo - Blindern;SN18700;01.10.2023 03:00;7
Oslo - Blindern;SN18700;01.10.2023 04:00;6,6
Oslo - Blindern;SN18700;01.10.2023 05:00;6,4
Oslo - Blindern;SN18700;01.10.2023 06:00;5,7
Oslo - Blindern;SN18700;01.10.2023 07:00;5,9
Oslo - Blindern;SN18700;01.10.2023 08:00;7,7
Oslo - Blindern;SN18700;01.10.2023 09:00;10,1
Oslo - Blindern;SN18700;01.10.2023 10:00;12,1
Oslo - Blindern;SN18700;01.10.2023 11:00;12,9
Oslo - Blindern;SN18700;01.10.2023 12:00;13,5
Oslo - Blindern;SN18700;01.10.2023 13:00;14,6
Oslo - Blindern;SN18700;01.10.2023 14:00;14,1
Oslo - Blindern;SN18700;01.10.2023 15:00;13,6
Oslo - Blindern;SN18700;01.10.2023 16:00;13,2
Oslo - Blindern;SN18700;01.10.2023 17:00;12,6
Oslo - Blindern;SN18700;01.10.2023 18:00;12
Oslo - Blindern;SN18700;01.10.2023 19:00;11
Oslo - Blindern;SN18700;01.10.2023 20:00;10,9
Oslo - Blindern;SN18700;01.10.2023 21:00;10,1
Oslo - Blindern;SN18700;01.10.2023 22:00;10,1
Oslo - Blindern;SN18700;01.10.2023 23:00;10,4
Oslo - Blindern;SN18700;02.10.2023 00:00;10,8
Oslo - Blindern;SN18700;02.10.2023 01:00;11
Oslo - Blindern;SN18700;02.10.2023 02:00;11,1
Oslo - Blindern;SN18700;02.10.2023 03:00;11,4
Oslo - Blindern;SN18700;02.10.2023 04:00;11,6
Oslo - Blindern;SN18700;02.10.2023 05:00;11,5
Oslo - Blindern;SN18700;02.10.2023 06:00;11,2
Oslo - Blindern;SN18700;02.10.2023 07:00;11,1
Oslo - Blindern;SN18700;02.10.2023 08:00;11,1
Oslo - Blindern;SN18700;02.10.2023 09:00;11,3
Oslo - Blindern;SN18700;02.10.2023 10:00;12
Oslo - Blindern;SN18700;02.10.2023 11:00;15
Oslo - Blindern;SN18700;02.10.2023 12:00;15
Oslo - Blindern;SN18700;02.10.2023 13:00;15,9
Oslo - Blindern;SN18700;02.10.2023 14:00;15,9
Oslo - Blindern;SN18700;02.10.2023 15:00;16,1
Oslo - Blindern;SN18700;02.10.2023 16:00;15,3
Oslo - Blindern;SN18700;02.10.2023 17:00;14
Oslo - Blindern;SN18700;02.10.2023 18:00;11,8
Oslo - Blindern;SN18700;02.10.2023 19:00;10,9
Oslo - Blindern;SN18700;02.10.2023 20:00;9,3
Oslo - Blindern;SN18700;02.10.2023 21:00;8,5
Oslo - Blindern;SN18700;02.10.2023 22:00;8,2
Oslo - Blindern;SN18700;02.10.2023 23:00;7,9
Oslo - Blindern;SN18700;03.10.2023 00:00;7,3
Oslo - Blindern;SN18700;03.10.2023 01:00;6,5
Oslo - Blindern;SN18700;03.10.2023 02:00;6,6
Oslo - Blindern;SN18700;03.10.2023 03:00;6,7
Oslo - Blindern;SN18700;03.10.2023 04:00;6,9
Oslo - Blindern;SN18700;03.10.2023 05:00;6,8
Oslo - Blindern;SN18700;03.10.2023 06:00;6,4
Oslo - Blindern;SN18700;03.10.2023 07:00;6,9
Oslo - Blindern;SN18700;03.10.2023 08:00;7,5
Oslo - Blindern;SN18700;03.10.2023 09:00;8,5
Oslo - Blindern;SN18700;03.10.2023 10:00;10,2
Oslo - Blindern;SN18700;03.10.2023 11:00;12,4
Oslo - Blindern;SN18700;03.10.2023 12:00;14,1
Oslo - Blindern;SN18700;03.10.2023 13:00;14,7
Oslo - Blindern;SN18700;03.10.2023 14:00;13,8
Oslo - Blindern;SN18700;03.10.2023 15:00;13,9
Oslo - Blindern;SN18700;03.10.2023 16:00;12,4
Oslo - Blindern;SN18700;03.10.2023 17:00;11,9
Oslo - Blindern;SN18700;03.10.2023 18:00;10,3
Oslo - Blindern;SN18700;03.10.2023 19:00;9,2
Oslo - Blindern;SN18700;03.10.2023 20:00;8,3
Oslo - Blindern;SN18700;03.10.2023 21:00;8,7
Oslo - Blindern;SN18700;03.10.2023 22:00;7,7
Oslo - Blindern;SN18700;03.10.2023 23:00;6,9
Oslo - Blindern;SN18700;04.10.2023 00:00;6,4
Oslo - Blindern;SN18700;04.10.2023 01:00;6,6
Oslo - Blindern;SN18700;04.10.2023 02:00;6,4
Oslo - Blindern;SN18700;04.10.2023 03:00;6,4
Oslo - Blindern;SN18700;04.10.2023 04:00;6,3
Oslo - Blindern;SN18700;04.10.2023 05:00;5,9
Oslo - Blindern;SN18700;04.10.2023 06:00;5,9
Oslo - Blindern;SN18700;04.10.2023 07:00;6,3
Oslo - Blindern;SN18700;04.10.2023 08:00;8,9
Oslo - Blindern;SN18700;04.10.2023 09:00;11,7
Oslo - Blindern;SN18700;04.10.2023 10:00;13,3
Oslo - Blindern;SN18700;04.10.2023 11:00;14,8
Oslo - Blindern;SN18700;04.10.2023 12:00;16,4
Oslo - Blindern;SN18700;04.10.2023 13:00;17
Oslo - Blindern;SN18700;04.10.2023 14:00;15,8
