Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Stavanger - Våland;SN44640;01.10.2023 01:00;9,9
Stavanger - Våland;SN44640;01.10.2023 02:00;9,7
Stavanger - Våland;SN44640;01.10.2023 03:00;9,2
Stavanger - Våland;SN44640;01.10.2023 04:00;9,6
Stavanger - Våland;SN44640;01.10.2023 05:00;8,4
Stavanger - Våland;SN44640;01.10.2023 06:00;8,6
Stavanger - Våland;SN44640;01.10.2023 07:00;8,5
Stavanger - Våland;SN44640;01.10.2023 08:00;8,7
Stavanger - Våland;SN44640;01.10.2023 09:00;10,2
Stavanger - Våland;SN44640;01.10.2023 10:00;10,7
Stavanger - Våland;SN44640;01.10.2023 11:00;11,8
Stavanger - Våland;SN44640;01.10.2023 12:00;12,6
Stavanger - Våland;SN44640;01.10.2023 13:00;13,4
Stavanger - Våland;SN44640;01.10.2023 14:00;13,7
Stavanger - Våland;SN44640;01.10.2023 15:00;13,8
Stavanger - Våland;SN44640;01.10.2023 16:00;13,8
Stavanger - Våland;SN44640;01.10.2023 17:00;13,4
Stavanger - Våland;SN44640;01.10.2023 18:00;13,8
Stavanger - Våland;SN44640;01.10.2023 19:00;13,8
Stavanger - Våland;SN44640;01.10.2023 20:00;13,6
Stavanger - Våland;SN44640;01.10.2023 21:00;13,9
Stavanger - Våland;SN44640;01.10.2023 22:00;14,2
Stavanger - Våland;SN44640;01.10.2023 23:00;14,2
Stavanger - Våland;SN44640;02.10.2023 00:00;13,5
Stavanger - Våland;SN44640;02.10.2023 01:00;13,2
Stavanger - Våland;SN44640;02.10.2023 02:00;12,8
Stavanger - Våland;SN44640;02.10.2023 03:00;12,1
Stavanger - Våland;SN44640;02.10.2023 04:00;11,7
Stavanger - Våland;SN44640;02.10.2023 05:00;11,3
Stavanger - Våland;SN44640;02.10.2023 06:00;11,3
Stavanger - Våland;SN44640;02.10.2023 07:00;11,4
Stavanger - Våland;SN44640;02.10.2023 08:00;11,6
Stavanger - Våland;SN44640;02.10.2023 09:00;12,6
Stavanger - Våland;SN44640;02.10.2023 10:00;13,7
Stavanger - Våland;SN44640;02.10.2023 11:00;14,9
Stavanger - Våland;SN44640;02.10.2023 12:00;14,7
Stavanger - Våland;SN44640;02.10.2023 13:00;14,6
Stavanger - Våland;SN44640;02.10.2023 14:00;14,6
Stavanger - Våland;SN44640;02.10.2023 15:00;14,8
Stavanger - Våland;SN44640;02.10.2023 16:00;14,3
Stavanger - Våland;SN44640;02.10.2023 17:00;14
Stavanger - Våland;SN44640;02.10.2023 18:00;13,3
Stavanger - Våland;SN44640;02.10.2023 19:00;12,5
Stavanger - Våland;SN44640;02.10.2023 20:00;12
Stavanger - Våland;SN44640;02.10.2023 21:00;11,4
Stavanger - Våland;SN44640;02.10.2023 22:00;11
Stavanger - Våland;SN44640;02.10.2023 23:00;11,1
Stavanger - Våland;SN44640;03.10.2023 00:00;11
Stavanger - Våland;SN44640;03.10.2023 01:00;10,8
Stavanger - Våland;SN44640;03.10.2023 02:00;11,1
Stavanger - Våland;SN44640;03.10.2023 03:00;11
Stavanger - Våland;SN44640;03.10.2023 04:00;10,8
Stavanger - Våland;SN44640;03.10.2023 05:00;10,9
Stavanger - Våland;SN44640;03.10.2023 06:00;11
Stavanger - Våland;SN44640;03.10.2023 07:00;10,3
Stavanger - Våland;SN44640;03.10.2023 08:00;10,7
Stavanger - Våland;SN44640;03.10.2023 09:00;13,1
