Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Bergen - Florida;SN50540;30.09.2023 01:00;12,1
Bergen - Florida;SN50540;30.09.2023 02:00;11,9
Bergen - Florida;SN50540;30.09.2023 03:00;11,9
Bergen - Florida;SN50540;30.09.2023 04:00;11,8
Bergen - Florida;SN50540;30.09.2023 05:00;11,6
Bergen - Florida;SN50540;30.09.2023 06:00;11,8
Bergen - Florida;SN50540;30.09.2023 07:00;12,2
Bergen - Florida;SN50540;30.09.2023 08:00;11,9
Bergen - Florida;SN50540;30.09.2023 09:00;12,2
Bergen - Florida;SN50540;30.09.2023 10:00;11,7
Bergen - Florida;SN50540;30.09.2023 11:00;11,8
Bergen - Florida;SN50540;30.09.2023 12:00;11,5
Bergen - Florida;SN50540;30.09.2023 13:00;11,5
Bergen - Florida;SN50540;30.09.2023 14:00;11,9
Bergen - Florida;SN50540;30.09.2023 15:00;11,5
Bergen - Florida;SN50540;30.09.2023 16:00;11,5
Bergen - Florida;SN50540;30.09.2023 17:00;11,2
Bergen - Florida;SN50540;30.09.2023 18:00;11,1
Bergen - Florida;SN50540;30.09.2023 19:00;10,9
Bergen - Florida;SN50540;30.09.2023 20:00;10,7
Bergen - Florida;SN50540;30.09.2023 21:00;10,4
Bergen - Florida;SN50540;30.09.2023 22:00;9,9
Bergen - Florida;SN50540;30.09.2023 23:00;9,8
Bergen - Florida;SN50540;01.10.2023 00:00;9,5
Bergen - Florida;SN50540;01.10.2023 01:00;9,6
Bergen - Florida;SN50540;01.10.2023 02:00;9,5
Bergen - Florida;SN50540;01.10.2023 03:00;9,2
Bergen - Florida;SN50540;01.10.2023 04:00;8,5
Bergen - Florida;SN50540;01.10.2023 05:00;8,3
Bergen - Florida;SN50540;01.10.2023 06:00;8,4
Bergen - Florida;SN50540;01.10.2023 07:00;8,1
Bergen - Florida;SN50540;01.10.2023 08:00;8,5
Bergen - Florida;SN50540;01.10.2023 09:00;9,7
Bergen - Florida;SN50540;01.10.2023 10:00;11,4
Bergen - Florida;SN50540;01.10.2023 11:00;11,5
Bergen - Florida;SN50540;01.10.2023 12:00;11,7
Bergen - Florida;SN50540;01.10.2023 13:00;12,2
Bergen - Florida;SN50540;01.10.2023 14:00;12,8
Bergen - Florida;SN50540;01.10.2023 15:00;13,1
Bergen - Florida;SN50540;01.10.2023 16:00;13,3
Bergen - Florida;SN50540;01.10.2023 17:00;12,5
Bergen - Florida;SN50540;01.10.2023 18:00;11,5
Bergen - Florida;SN50540;01.10.2023 19:00;12,1
Bergen - Florida;SN50540;01.10.2023 20:00;12,2
Bergen - Florida;SN50540;01.10.2023 21:00;12,1
Bergen - Florida;SN50540;01.10.2023 22:00;12,1
Bergen - Florida;SN50540;01.10.2023 23:00;12,3
Bergen - Florida;SN50540;02.10.2023 00:00;12,8
Bergen - Florida;SN50540;02.10.2023 01:00;12,7
Bergen - Florida;SN50540;02.10.2023 02:00;12,2
Bergen - Florida;SN50540;02.10.2023 03:00;11,5
Bergen - Florida;SN50540;02.10.2023 04:00;11
Bergen - Florida;SN50540;02.10.2023 05:00;11
Bergen - Florida;SN50540;02.10.2023 06:00;11
Bergen - Florida;SN50540;02.10.2023 07:00;10,6
Bergen - Florida;SN50540;02.10.2023 08:00;11,1
Bergen - Florida;SN50540;02.10.2023 09:00;12,1
Bergen - Florida;SN50540;02.10.2023 10:00;12,8
Bergen - Florida;SN50540;02.10.2023 11:00;13,2
Bergen - Florida;SN50540;02.10.2023 12:00;14,4
Bergen - Florida;SN50540;02.10.2023 13:00;14,6
Bergen - Florida;SN50540;02.10.2023 14:00;15
Bergen - Florida;SN50540;02.10.2023 15:00;14,4
Bergen - Florida;SN50540;02.10.2023 16:00;14,2
Bergen - Florida;SN50540;02.10.2023 17:00;13,7
Bergen - Florida;SN50540;02.10.2023 18:00;13,2
Bergen - Florida;SN50540;02.10.2023 19:00;12,7
Bergen - Florida;SN50540;02.10.2023 20:00;12,3
Bergen - Florida;SN50540;02.10.2023 21:00;12,7
Bergen - Florida;SN50540;02.10.2023 22:00;12,3
Bergen - Florida;SN50540;02.10.2023 23:00;12,2
Bergen - Florida;SN50540;03.10.2023 00:00;12,1
Bergen - Florida;SN50540;03.10.2023 01:00;11,6
Bergen - Florida;SN50540;03.10.2023 02:00;11,7
Bergen - Florida;SN50540;03.10.2023 03:00;11,2
Bergen - Florida;SN50540;03.10.2023 04:00;11,1
Bergen - Florida;SN50540;03.10.2023 05:00;11,3
Bergen - Florida;SN50540;03.10.2023 06:00;11,8
Bergen - Florida;SN50540;03.10.2023 07:00;11,7
Bergen - Florida;SN50540;03.10.2023 08:00;11,3
Bergen - Florida;SN50540;03.10.2023 09:00;11,7
Bergen - Florida;SN50540;03.10.2023 10:00;12,2
Bergen - Florida;SN50540;03.10.2023 11:00;12,1
Bergen - Florida;SN50540;03.10.2023 12:00;13,7
Bergen - Florida;SN50540;03.10.2023 13:00;14,3
Bergen - Florida;SN50540;03.10.2023 14:00;14,9
Bergen - Florida;SN50540;03.10.2023 15:00;13,8
Bergen - Florida;SN50540;03.10.2023 16:00;13
Bergen - Florida;SN50540;03.10.2023 17:00;11,8
Bergen - Florida;SN50540;03.10.2023 18:00;11,9
Bergen - Florida;SN50540;03.10.2023 19:00;11,3
Bergen - Florida;SN50540;03.10.2023 20:00;11,2
Bergen - Florida;SN50540;03.10.2023 21:00;10,9
Bergen - Florida;SN50540;03.10.2023 22:00;10,8
Bergen - Florida;SN50540;03.10.2023 23:00;10
Bergen - Florida;SN50540;04.10.2023 00:00;9,9
Bergen - Florida;SN50540;04.10.2023 01:00;10,3
